op_type,key,latency_ms,status_code,ok,stale,write_read_gap_ms
read,key-0028,4.067166708409786,404,True,False,
read,key-0084,3.774834331125021,200,True,False,2491.4791584014893
read,key-0051,3.5645831376314163,200,True,False,18.544912338256836
read,key-0048,5.106249824166298,200,True,False,1266.132116317749
read,key-0073,5.7499161921441555,200,True,False,8662.336587905884
write,key-0084,1226.7282917164266,201,True,,
write,key-0051,1227.5489582680166,201,True,,
read,key-0068,6.754834204912186,200,True,False,23638.324975967407
write,key-0084,1239.7391251288354,201,True,,
write,key-0050,1236.744042020291,201,True,,
write,key-0019,1226.1687498539686,201,True,,
read,key-0048,6.466292310506105,200,True,False,7443.809032440186
read,key-0099,4.977624863386154,200,True,False,9917.442083358765
read,key-0084,5.971875041723251,200,True,False,2481.379747390747
read,key-0084,4.367416258901358,200,True,False,2485.919952392578
write,key-0078,1233.1199580803514,201,True,,
write,key-0084,1225.712832994759,201,True,,
read,key-0084,7.11616687476635,200,True,False,7.380008697509766
write,key-0073,1230.4098326712847,201,True,,
read,key-0095,7.460083346813917,404,True,False,
read,key-0060,5.335459019988775,404,True,False,
read,key-0084,4.657375160604715,200,True,False,1256.0648918151855
read,key-0019,4.0890839882195,200,True,False,3742.039680480957
read,key-0099,4.4334582053124905,200,True,False,13652.258157730103
write,key-0048,1230.8058328926563,201,True,,
read,key-0093,5.0400421023368835,404,True,False,
read,key-0073,3.3262083306908607,200,True,False,1266.4451599121094
read,key-0050,2.753832843154669,200,True,False,6215.565919876099
read,key-0079,3.1038750894367695,404,True,False,
read,key-0084,2.7848328463733196,200,True,False,2513.234853744507
write,key-0084,1232.2178753092885,201,True,,
read,key-0051,7.906584069132805,200,True,False,9946.115016937256
read,key-0051,4.300917033106089,200,True,False,9950.54316520691
read,key-0099,5.498625338077545,200,True,False,16151.366233825684
write,key-0022,1231.8650423549116,201,True,,
read,key-0043,6.845041178166866,404,True,False,
read,key-0019,4.849541001021862,200,True,False,7489.850759506226
write,key-0084,1219.9542080052197,201,True,,
write,key-0084,1230.1783747971058,201,True,,
read,key-0084,4.46358323097229,200,True,False,4.606008529663086
write,key-0084,1223.7213752232492,201,True,,
read,key-0043,7.58324982598424,404,True,False,
read,key-0019,5.971791688352823,200,True,False,11183.41088294983
read,key-0050,8.188166655600071,200,True,False,12418.362855911255
read,key-0040,5.258041899651289,404,True,False,
read,key-0051,6.295542232692242,200,True,False,14914.103984832764
write,key-0022,1230.1391661167145,201,True,,
write,key-0084,1226.916707586497,201,True,,
read,key-0078,3.2659159041941166,200,True,False,12408.819198608398
read,key-0084,2.531124744564295,200,True,False,5.935192108154297
read,key-0097,2.335582859814167,404,True,False,
read,key-0084,2.742333337664604,200,True,False,11.109113693237305
read,key-0074,2.2253342904150486,200,True,False,131880.88607788086
write,key-0084,1227.1703332662582,201,True,,
write,key-0084,1224.422125145793,201,True,,
read,key-0084,5.03849983215332,200,True,False,5.156040191650391
read,key-0047,2.411500085145235,404,True,False,
read,key-0050,2.708500251173973,200,True,False,17363.447904586792
read,key-0022,2.4369172751903534,200,True,False,3705.3120136260986
read,key-0084,2.8893332928419113,200,True,False,15.879154205322266
write,key-0022,1222.8986672125757,201,True,,
read,key-0084,5.36941597238183,200,True,False,1244.3928718566895
write,key-0084,1224.68425007537,201,True,,
read,key-0057,3.393624909222126,404,True,False,
read,key-0084,1.9660419784486294,200,True,False,5.518913269042969
read,key-0073,2.2568749263882637,200,True,False,14883.667945861816
read,key-0022,1.7854999750852585,200,True,False,1239.9318218231201
read,key-0078,2.0099999383091927,200,True,False,17351.57299041748
read,key-0084,2.448500134050846,200,True,False,14.253854751586914
read,key-0084,2.712584100663662,200,True,False,17.040014266967773
read,key-0084,2.432832960039377,200,True,False,19.55270767211914
read,key-0084,2.063457854092121,200,True,False,21.67677879333496
read,key-0078,1.8803328275680542,200,True,False,17363.446950912476
write,key-0084,1214.4762920215726,201,True,,
write,key-0073,1220.7786669023335,201,True,,
read,key-0050,4.639540798962116,200,True,False,22285.9468460083
read,key-0084,2.3344168439507484,200,True,False,1228.0089855194092
write,key-0048,1233.2625417038798,201,True,,
read,key-0084,3.3647497184574604,200,True,False,2464.7722244262695
read,key-0086,2.403666265308857,404,True,False,
write,key-0050,1222.8164998814464,201,True,,
read,key-0022,3.4411251544952393,200,True,False,6162.102937698364
read,key-0084,3.228334244340658,200,True,False,3696.9311237335205
read,key-0084,4.051208030432463,200,True,False,3701.03120803833
read,key-0019,1.948624849319458,200,True,False,23536.751747131348
read,key-0038,1.9212919287383556,404,True,False,
read,key-0084,2.100542187690735,200,True,False,3707.11612701416
read,key-0063,2.071291208267212,404,True,False,
read,key-0084,2.1757911890745163,200,True,False,3711.435079574585
read,key-0078,2.4869157932698727,200,True,False,22291.977882385254
read,key-0063,2.5827917270362377,404,True,False,
write,key-0073,1223.5728329978883,201,True,,
write,key-0051,1231.3500419259071,201,True,,
read,key-0084,6.480333395302296,200,True,False,6178.546190261841
read,key-0022,4.824500065296888,200,True,False,8651.957988739014
read,key-0084,3.082458395510912,200,True,False,6186.689138412476
write,key-0050,1237.430791836232,201,True,,
read,key-0084,5.416166037321091,200,True,False,7429.91828918457
write,key-0084,1231.6093752160668,201,True,,
read,key-0073,3.9965002797544003,200,True,False,3725.5799770355225
read,key-0039,3.310750238597393,404,True,False,
write,key-0084,1216.765457764268,201,True,,
read,key-0077,4.95037529617548,404,True,False,
read,key-0084,5.421457812190056,200,True,False,10.601282119750977
write,key-0050,1231.3497089780867,201,True,,
read,key-0084,5.910709034651518,200,True,False,1248.171091079712
write,key-0084,1228.2492923550308,201,True,,
read,key-0029,3.327582962810993,404,True,False,
read,key-0051,3.3066668547689915,200,True,False,6197.792053222656
write,key-0084,1223.0430827476084,201,True,,
read,key-0067,7.746791932731867,404,True,False,
read,key-0022,4.313999786973,200,True,False,16073.62675666809
read,key-0084,4.86712483689189,200,True,False,17.44818687438965
read,key-0050,7.45208328589797,200,True,False,2489.4771575927734
write,key-0084,1235.3015001863241,201,True,,
read,key-0048,7.291458081454039,200,True,False,12399.433851242065
read,key-0039,7.701416965574026,404,True,False,
write,key-0084,1229.6132077462971,201,True,,
read,key-0060,3.353583626449108,404,True,False,
read,key-0048,2.232917118817568,200,True,False,13642.827987670898
read,key-0084,2.450041938573122,200,True,False,8.256912231445312
write,key-0099,1236.4095831289887,201,True,,
read,key-0066,9.713999927043915,404,True,False,
read,key-0084,5.473707802593708,200,True,False,1260.4188919067383
read,key-0084,3.9080828428268433,200,True,False,1264.3749713897705
write,key-0050,1228.3007078804076,201,True,,
read,key-0084,5.894375033676624,200,True,False,2500.476837158203
read,key-0084,4.129375331103802,200,True,False,2504.725933074951
read,key-0084,4.084083251655102,200,True,False,2508.9049339294434
write,key-0019,1234.3524578027427,201,True,,
read,key-0084,5.368124693632126,200,True,False,3748.887062072754
read,key-0084,3.3551249653100967,200,True,False,3752.3229122161865
write,key-0050,1230.1364997401834,201,True,,
read,key-0068,6.5003749914467335,200,True,False,68263.19003105164
read,key-0073,9.181416127830744,200,True,False,16156.836986541748
write,key-0032,1245.8758340217173,201,True,,
read,key-0050,7.478874642401934,200,True,False,1270.1830863952637
read,key-0051,5.791708827018738,200,True,False,16185.31608581543
read,key-0073,5.360874813050032,200,True,False,17422.41406440735
read,key-0050,4.044875036925077,200,True,False,1285.8800888061523
read,key-0072,3.9756670594215393,200,True,False,149301.8102645874
write,key-0050,1234.210082795471,201,True,,
read,key-0073,6.104374770075083,200,True,False,18671.53286933899
read,key-0084,5.148834083229303,200,True,False,7518.6169147491455
write,key-0084,1230.8402080088854,201,True,,
read,key-0031,6.481749936938286,404,True,False,
write,key-0099,1230.1524579524994,201,True,,
write,key-0019,1234.577207826078,201,True,,
read,key-0084,3.8534998893737793,200,True,False,2475.8291244506836
read,key-0091,6.2513332813978195,404,True,False,
